start_time : 2024_11_17_13:14:26
name : labopt_logs\lab_opt_2024_11\optimization__2024-11-17-13-14__dual_annealing__.txt
method : dual_annealing
args : (6, 4, 1, 2)
paras_init : array([ 9.6825, -1.248 , -6.6065, -3.8342])
bounds : ((-10, 10), (-10, 10), (-10, 10), (-10, 10))
max_run : 10
form : rounds, time, parameters, cost 


0, 17:13:14:26, [9.6825,-1.248,-6.6065,-3.8342], 188.425313
1, 17:13:14:26, [-2.627235952182673,6.442264047800563,6.702985912561417,3.8560640477808192], 165.031173
2, 17:13:14:27, [-2.9687130637466908,6.1007869355380535,6.361508800648153,3.51458693575114], 166.345268
3, 17:13:14:27, [0.5752726085484028,9.644772607833147,2.484462693333626,7.058572608046234], 131.168756
4, 17:13:14:27, [-8.951223127543926,0.11827687174081802,-7.042033042758703,-5.497687805444002], 397.861222
5, 17:13:14:27, [6.508072800934315,0.11827687174081802,-7.042033042758703,-5.497687805444002], 158.017701
6, 17:13:14:27, [6.508072800934315,-9.688780990894884,-7.042033042758703,-5.497687805444002], 343.822549
7, 17:13:14:27, [6.508072800934315,-9.688780990894884,-8.014503268525004,-5.497687805444002], 368.167431
8, 17:13:14:27, [6.508072800934315,-9.688780990894884,-8.014503268525004,7.882302403450012], 350.530196
9, 17:13:14:27, [0.5752726085484028,9.644772607833147,2.484462693333626,7.058572608046234], 131.168756
10, 17:13:14:27, [0.5752726185484028,9.644772607833147,2.484462693333626,7.058572608046234], 131.168756
11, 17:13:14:27, [0.5752726085484028,9.644772617833148,2.484462693333626,7.058572608046234], 131.168756
12, 17:13:14:27, [0.5752726085484028,9.644772607833147,2.4844627033336257,7.058572608046234], 131.168756
13, 17:13:14:27, [0.5752726085484028,9.644772607833147,2.484462693333626,7.058572618046234], 131.168756
14, 17:13:14:27, [10.0,-4.519327223412967,-8.506135671583184,-4.8566180763121185], 281.864810
15, 17:13:14:27, [9.99999999,-4.519327223412967,-8.506135671583184,-4.8566180763121185], 281.864810
16, 17:13:14:27, [10.0,-4.519327213412967,-8.506135671583184,-4.8566180763121185], 281.864810
17, 17:13:14:27, [10.0,-4.519327223412967,-8.506135661583183,-4.8566180763121185], 281.864810
18, 17:13:14:27, [10.0,-4.519327223412967,-8.506135671583184,-4.856618066312119], 281.864810
19, 17:13:14:27, [3.560332832122129,5.158627889490474,-0.996550247384925,3.284716846400039], 78.084047
20, 17:13:14:27, [3.5603328421221287,5.158627889490474,-0.996550247384925,3.284716846400039], 78.084047
21, 17:13:14:27, [3.560332832122129,5.158627899490474,-0.996550247384925,3.284716846400039], 78.084047
22, 17:13:14:27, [3.560332832122129,5.158627889490474,-0.996550237384925,3.284716846400039], 78.084047
23, 17:13:14:27, [3.560332832122129,5.158627889490474,-0.996550247384925,3.284716856400039], 78.084047
24, 17:13:14:27, [4.547600275772306,5.727484067111504,0.7631012135699264,1.8513848010504632], 44.373171
25, 17:13:14:27, [4.547600285772306,5.727484067111504,0.7631012135699264,1.8513848010504632], 44.373171
26, 17:13:14:27, [4.547600275772306,5.727484077111504,0.7631012135699264,1.8513848010504632], 44.373171
27, 17:13:14:28, [4.547600275772306,5.727484067111504,0.7631012235699265,1.8513848010504632], 44.373171
28, 17:13:14:28, [4.547600275772306,5.727484067111504,0.7631012135699264,1.8513848110504632], 44.373171
29, 17:13:14:28, [10.0,6.503070770592853,6.663162702898392,-8.16530344948026], 204.323678
30, 17:13:14:28, [9.99999999,6.503070770592853,6.663162702898392,-8.16530344948026], 204.323678
31, 17:13:14:28, [10.0,6.503070780592853,6.663162702898392,-8.16530344948026], 204.323678
32, 17:13:14:28, [10.0,6.503070770592853,6.663162712898392,-8.16530344948026], 204.323678
33, 17:13:14:28, [10.0,6.503070770592853,6.663162702898392,-8.16530343948026], 204.323678
34, 17:13:14:28, [5.5345134446253255,5.867869359820664,1.8310435280313995,0.038311284298290005], 39.351803
35, 17:13:14:28, [5.534513454625325,5.867869359820664,1.8310435280313995,0.038311284298290005], 39.351803
36, 17:13:14:28, [5.5345134446253255,5.867869369820664,1.8310435280313995,0.038311284298290005], 39.351803
37, 17:13:14:28, [5.5345134446253255,5.867869359820664,1.8310435380313994,0.038311284298290005], 39.351803
38, 17:13:14:28, [5.5345134446253255,5.867869359820664,1.8310435280313995,0.038311294298290006], 39.351803
39, 17:13:14:28, [6.390847579000067,6.409385463413553,1.3992609824133349,0.8243994780638293], 26.115050
40, 17:13:14:28, [6.390847589000067,6.409385463413553,1.3992609824133349,0.8243994780638293], 26.115050
41, 17:13:14:28, [6.390847579000067,6.409385473413553,1.3992609824133349,0.8243994780638293], 26.115050
42, 17:13:14:28, [6.390847579000067,6.409385463413553,1.3992609924133348,0.8243994780638293], 26.115050
43, 17:13:14:28, [6.390847579000067,6.409385463413553,1.3992609824133349,0.8243994880638293], 26.115050
44, 17:13:14:28, [6.715893230687653,6.200790730429266,0.6590754321823112,1.0777713471536543], 23.096982
45, 17:13:14:28, [6.715893240687653,6.200790730429266,0.6590754321823112,1.0777713471536543], 23.096982
46, 17:13:14:28, [6.715893230687653,6.200790740429266,0.6590754321823112,1.0777713471536543], 23.096982
47, 17:13:14:28, [6.715893230687653,6.200790730429266,0.6590754421823113,1.0777713471536543], 23.096982
48, 17:13:14:28, [6.715893230687653,6.200790730429266,0.6590754321823112,1.0777713571536542], 23.096982
49, 17:13:14:28, [6.732967603178567,6.279154696747109,0.6839324798424855,0.8839287058289766], 22.805018
50, 17:13:14:28, [6.732967613178567,6.279154696747109,0.6839324798424855,0.8839287058289766], 22.805018
51, 17:13:14:29, [6.732967603178567,6.279154706747109,0.6839324798424855,0.8839287058289766], 22.805018
52, 17:13:14:29, [6.732967603178567,6.279154696747109,0.6839324898424856,0.8839287058289766], 22.805018
53, 17:13:14:29, [6.732967603178567,6.279154696747109,0.6839324798424855,0.8839287158289767], 22.805018
