start_time : 2024_11_18_14:28:23
name : labopt_logs\lab_opt_2024_11\optimization__2024-11-18-14-28__shgo__.txt
method : shgo
args : (6, 8, 1, 2)
paras_init : array([3, 0, 4, 2])
bounds : ((-10, 10), (-10, 10), (-10, 10), (-10, 10))
max_run : 10
form : rounds, time, parameters, cost 


0, 18:14:28:25, [10.0,10.0,10.0,-10.0], 352.171396
1, 18:14:28:25, [10.0,10.0,-10.0,10.0], 312.171396
2, 18:14:28:25, [-10.0,-10.0,10.0,10.0], 836.709066
3, 18:14:28:25, [10.0,10.0,-10.0,-10.0], 396.709066
4, 18:14:28:25, [-10.0,10.0,-10.0,10.0], 556.709066
5, 18:14:28:25, [-10.0,-10.0,-10.0,10.0], 881.246737
6, 18:14:28:25, [-10.0,10.0,10.0,10.0], 512.171396
7, 18:14:28:25, [-10.0,10.0,-10.0,-10.0], 641.246737
8, 18:14:28:25, [0.0,0.0,0.0,0.0], 182.278037
9, 18:14:28:25, [-10.0,-10.0,10.0,-10.0], 921.246737
10, 18:14:28:25, [-10.0,-10.0,-10.0,-10.0], 965.784407
11, 18:14:28:25, [-10.0,10.0,10.0,-10.0], 596.709066
12, 18:14:28:25, [10.0,-10.0,10.0,10.0], 592.171396
13, 18:14:28:25, [10.0,-10.0,10.0,-10.0], 676.709066
14, 18:14:28:25, [10.0,-10.0,-10.0,10.0], 636.709066
15, 18:14:28:25, [10.0,10.0,10.0,10.0], 267.633725
16, 18:14:28:25, [10.0,-10.0,-10.0,-10.0], 721.246737
17, 18:14:28:25, [0.0,0.0,0.0,0.0], 182.278037
18, 18:14:28:25, [1.4901161193847656e-08,0.0,0.0,0.0], 182.278037
19, 18:14:28:25, [0.0,1.4901161193847656e-08,0.0,0.0], 182.278037
20, 18:14:28:26, [0.0,0.0,1.4901161193847656e-08,0.0], 182.278037
21, 18:14:28:26, [0.0,0.0,0.0,1.4901161193847656e-08], 182.278037
22, 18:14:28:26, [7.829507827758789,10.0,-2.170492172241211,-0.17049217224121094], 117.701923
23, 18:14:28:26, [7.82950784265995,10.0,-2.170492172241211,-0.17049217224121094], 117.701923
24, 18:14:28:26, [7.829507827758789,9.999999985098839,-2.170492172241211,-0.17049217224121094], 117.701923
25, 18:14:28:26, [7.829507827758789,10.0,-2.1704921573400497,-0.17049217224121094], 117.701923
26, 18:14:28:26, [7.829507827758789,10.0,-2.170492172241211,-0.17049215734004974], 117.701923
27, 18:14:28:26, [5.731855804548381,10.0,3.7750690665641473,0.3168004184309778], 104.248219
28, 18:14:28:26, [5.731855819449542,10.0,3.7750690665641473,0.3168004184309778], 104.248219
29, 18:14:28:26, [5.731855804548381,9.999999985098839,3.7750690665641473,0.3168004184309778], 104.248219
30, 18:14:28:26, [5.731855804548381,10.0,3.7750690814653085,0.3168004184309778], 104.248219
31, 18:14:28:26, [5.731855804548381,10.0,3.7750690665641473,0.316800433332139], 104.248219
32, 18:14:28:26, [5.317035282102854,9.999999999999993,4.356747862267607,-1.823504834144657], 116.772428
33, 18:14:28:26, [5.672930209440565,9.999999999999998,3.857697016108098,0.012768303585536989], 103.821479
34, 18:14:28:26, [5.672930224341727,9.999999999999998,3.857697016108098,0.012768303585536989], 103.821479
35, 18:14:28:26, [5.672930209440565,9.999999985098837,3.857697016108098,0.012768303585536989], 103.821479
36, 18:14:28:26, [5.672930209440565,9.999999999999998,3.857697031009259,0.012768303585536989], 103.821479
37, 18:14:28:26, [5.672930209440565,9.999999999999998,3.857697016108098,0.012768318486698182], 103.821479
38, 18:14:28:26, [5.832069646791721,10.0,4.249907149356704,-0.08177979695516452], 103.902262
39, 18:14:28:26, [5.730285807123002,9.999999999999998,3.999053847475696,-0.021307868270499873], 103.778681
40, 18:14:28:26, [5.730285822024163,9.999999999999998,3.999053847475696,-0.021307868270499873], 103.778681
41, 18:14:28:26, [5.730285807123002,9.999999985098837,3.999053847475696,-0.021307868270499873], 103.778681
42, 18:14:28:26, [5.730285807123002,9.999999999999998,3.999053862376857,-0.021307868270499873], 103.778681
43, 18:14:28:26, [5.730285807123002,9.999999999999998,3.999053847475696,-0.02130785336933868], 103.778681
44, 18:14:28:26, [5.539218436033306,9.999999999999991,4.382454987986512,-0.05644870359135821], 103.935087
45, 18:14:28:26, [5.6755363445684655,9.999999999999996,4.108915653110261,-0.03137731046024594], 103.745141
46, 18:14:28:26, [5.675536359469627,9.999999999999996,4.108915653110261,-0.03137731046024594], 103.745141
47, 18:14:28:26, [5.6755363445684655,9.999999985098835,4.108915653110261,-0.03137731046024594], 103.745141
48, 18:14:28:26, [5.6755363445684655,9.999999999999996,4.108915668011422,-0.03137731046024594], 103.745141
49, 18:14:28:27, [5.6755363445684655,9.999999999999996,4.108915653110261,-0.03137729555908474], 103.745141
50, 18:14:28:27, [5.66174358347761,9.999999999999996,4.1079124960764615,-0.025312663645115502], 103.744386
51, 18:14:28:27, [5.661743598378771,9.999999999999996,4.1079124960764615,-0.025312663645115502], 103.744386
52, 18:14:28:27, [5.66174358347761,9.999999985098835,4.1079124960764615,-0.025312663645115502], 103.744386
53, 18:14:28:27, [5.66174358347761,9.999999999999996,4.107912510977623,-0.025312663645115502], 103.744386
54, 18:14:28:27, [5.66174358347761,9.999999999999996,4.1079124960764615,-0.025312648743954308], 103.744386
55, 18:14:28:27, [5.663091769356911,10.0,4.110457847673348,-0.025171445211163344], 103.744374
56, 18:14:28:27, [5.663091784258072,10.0,4.110457847673348,-0.025171445211163344], 103.744374
57, 18:14:28:27, [5.663091769356911,9.999999985098839,4.110457847673348,-0.025171445211163344], 103.744374
58, 18:14:28:27, [5.663091769356911,10.0,4.110457862574509,-0.025171445211163344], 103.744374
59, 18:14:28:27, [5.663091769356911,10.0,4.110457847673348,-0.02517143031000215], 103.744374
60, 18:14:28:27, [5.663067322651372,9.999999999999995,4.109867368417693,-0.02533765876546079], 103.744373
61, 18:14:28:27, [5.663067337552533,9.999999999999995,4.109867368417693,-0.02533765876546079], 103.744373
62, 18:14:28:27, [5.663067322651372,9.999999985098833,4.109867368417693,-0.02533765876546079], 103.744373
63, 18:14:28:27, [5.663067322651372,9.999999999999995,4.109867383318854,-0.02533765876546079], 103.744373
64, 18:14:28:27, [5.663067322651372,9.999999999999995,4.109867368417693,-0.025337643864299597], 103.744373
65, 18:14:28:27, [5.6630488596235855,9.999999999999998,4.109893567615201,-0.02532202637071729], 103.744373
66, 18:14:28:27, [5.663048874524747,9.999999999999998,4.109893567615201,-0.02532202637071729], 103.744373
67, 18:14:28:27, [5.6630488596235855,9.999999985098837,4.109893567615201,-0.02532202637071729], 103.744373
68, 18:14:28:27, [5.6630488596235855,9.999999999999998,4.109893582516362,-0.02532202637071729], 103.744373
69, 18:14:28:27, [5.6630488596235855,9.999999999999998,4.109893567615201,-0.025322011469556097], 103.744373
70, 18:14:28:27, [5.663050036814853,10.0,4.10989359519404,-0.025322445088026137], 103.744373
71, 18:14:28:27, [5.663050051716014,10.0,4.10989359519404,-0.025322445088026137], 103.744373
72, 18:14:28:27, [5.663050036814853,9.999999985098839,4.10989359519404,-0.025322445088026137], 103.744373
73, 18:14:28:27, [5.663050036814853,10.0,4.1098936100952015,-0.025322445088026137], 103.744373
74, 18:14:28:27, [5.663050036814853,10.0,4.10989359519404,-0.025322430186864944], 103.744373
75, 18:14:28:27, [5.663050036814853,10.0,4.10989359519404,-0.025322445088026137], 103.744373
