start_time : 2024_11_18_14:42:49
name : labopt_logs\lab_opt_2024_11\optimization__2024-11-18-14-42__direct__.txt
method : direct
args : (6, 8, -5, 2)
paras_init : array([3, 0, 4, 2])
bounds : ((-10, 10), (-10, 10), (-10, 10), (-10, 10))
max_run : 10
form : rounds, time, parameters, cost 


0, 18:14:42:49, [0.0,0.0,0.0,0.0], -372.071029
1, 18:14:42:49, [6.666666666666665,0.0,0.0,0.0], -406.163692
2, 18:14:42:49, [-6.666666666666666,0.0,0.0,0.0], -248.324259
3, 18:14:42:49, [0.0,6.666666666666665,0.0,0.0], -432.830359
4, 18:14:42:49, [0.0,-6.666666666666666,0.0,0.0], -221.657592
5, 18:14:42:49, [0.0,0.0,6.666666666666665,0.0], -259.497025
6, 18:14:42:49, [0.0,0.0,-6.666666666666666,0.0], -394.990925
7, 18:14:42:49, [0.0,0.0,0.0,6.666666666666665], -352.830359
8, 18:14:42:49, [0.0,0.0,0.0,-6.666666666666666], -301.657592
9, 18:14:42:49, [6.666666666666665,6.666666666666665,0.0,0.0], -466.923022
10, 18:14:42:49, [-6.666666666666666,6.666666666666665,0.0,0.0], -309.083588
11, 18:14:42:49, [0.0,6.666666666666665,6.666666666666665,0.0], -320.256355
12, 18:14:42:49, [0.0,6.666666666666665,-6.666666666666666,0.0], -455.750255
13, 18:14:42:50, [0.0,6.666666666666665,0.0,6.666666666666665], -413.589688
14, 18:14:42:50, [0.0,6.666666666666665,0.0,-6.666666666666666], -362.416921
15, 18:14:42:50, [6.666666666666664,6.666666666666664,0.0,0.0], -466.923022
