start_time : 2024_11_18_14:57:29
name : labopt_logs\lab_opt_2024_11\optimization__2024-11-18-14-57__shgo__.txt
method : shgo
args : (6, 8, -5, 2)
paras_init : array([3, 0, 4, 2])
bounds : ((-10, 10), (-10, 10), (-10, 10), (-10, 10))
max_run : 10
form : rounds, time, parameters, cost 


0, 18:14:57:29, [10.0,10.0,10.0,-10.0], 1313.620113
1, 18:14:57:30, [10.0,10.0,-10.0,10.0], 135.072113
2, 18:14:57:30, [-10.0,-10.0,10.0,10.0], 2245.871101
3, 18:14:57:30, [10.0,10.0,-10.0,-10.0], 526.083101
4, 18:14:57:30, [-10.0,10.0,-10.0,10.0], 1180.339101
5, 18:14:57:30, [-10.0,-10.0,-10.0,10.0], 2034.334089
6, 18:14:57:30, [-10.0,10.0,10.0,10.0], 1775.876113
7, 18:14:57:30, [-10.0,10.0,-10.0,-10.0], 1456.150089
8, 18:14:57:30, [0.0,0.0,0.0,0.0], -507.165158
9, 18:14:57:30, [-10.0,-10.0,10.0,-10.0], 2272.082089
10, 18:14:57:30, [-10.0,-10.0,-10.0,-10.0], 2156.545077
11, 18:14:57:30, [-10.0,10.0,10.0,-10.0], 1955.687101
12, 18:14:57:30, [10.0,-10.0,10.0,10.0], 1949.404113
13, 18:14:57:30, [10.0,-10.0,10.0,-10.0], 2090.815101
14, 18:14:57:30, [10.0,-10.0,-10.0,10.0], 1449.867101
15, 18:14:57:30, [10.0,10.0,10.0,10.0], 1018.609125
16, 18:14:57:30, [10.0,-10.0,-10.0,-10.0], 1687.278089
17, 18:14:57:30, [0.0,0.0,0.0,0.0], -507.165158
18, 18:14:57:30, [1e-08,0.0,0.0,0.0], -507.165158
19, 18:14:57:30, [0.0,1e-08,0.0,0.0], -507.165158
20, 18:14:57:30, [0.0,0.0,1e-08,0.0], -507.165158
21, 18:14:57:30, [0.0,0.0,0.0,1e-08], -507.165158
22, 18:14:57:30, [-9.025382041727426,-10.0,-3.0655826321890345,-6.858181222924031], 611.723981
23, 18:14:57:30, [-9.025382031727425,-10.0,-3.0655826321890345,-6.858181222924031], 611.723979
24, 18:14:57:30, [-9.025382041727426,-9.99999999,-3.0655826321890345,-6.858181222924031], 611.723979
25, 18:14:57:30, [-9.025382041727426,-10.0,-3.0655826221890345,-6.858181222924031], 611.723980
26, 18:14:57:30, [-9.025382041727426,-10.0,-3.0655826321890345,-6.858181212924031], 611.723980
27, 18:14:57:30, [-1.5120734021149038,-1.675356672021275,-0.5135944316470441,-1.1489899669756802], -503.682075
28, 18:14:57:30, [-1.5120733921149039,-1.675356672021275,-0.5135944316470441,-1.1489899669756802], -503.682075
29, 18:14:57:30, [-1.5120734021149038,-1.675356662021275,-0.5135944316470441,-1.1489899669756802], -503.682075
30, 18:14:57:31, [-1.5120734021149038,-1.675356672021275,-0.513594421647044,-1.1489899669756802], -503.682075
31, 18:14:57:31, [-1.5120734021149038,-1.675356672021275,-0.5135944316470441,-1.1489899569756803], -503.682075
32, 18:14:57:31, [-0.6868665683217846,-0.7610387739224398,-0.23330272477590683,-0.5219341829232003], -516.574839
33, 18:14:57:31, [-0.6868665583217846,-0.7610387739224398,-0.23330272477590683,-0.5219341829232003], -516.574839
34, 18:14:57:31, [-0.6868665683217846,-0.7610387639224397,-0.23330272477590683,-0.5219341829232003], -516.574839
35, 18:14:57:31, [-0.6868665683217846,-0.7610387739224398,-0.23330271477590683,-0.5219341829232003], -516.574839
36, 18:14:57:31, [-0.6868665683217846,-0.7610387739224398,-0.23330272477590683,-0.5219341729232002], -516.574839
37, 18:14:57:31, [-0.7096670685006009,-0.8169561200555406,-0.13114995800836216,-0.49974360967852505], -516.669091
38, 18:14:57:31, [-0.7096670585006009,-0.8169561200555406,-0.13114995800836216,-0.49974360967852505], -516.669091
39, 18:14:57:31, [-0.7096670685006009,-0.8169561100555406,-0.13114995800836216,-0.49974360967852505], -516.669091
40, 18:14:57:31, [-0.7096670685006009,-0.8169561200555406,-0.13114994800836216,-0.49974360967852505], -516.669091
41, 18:14:57:31, [-0.7096670685006009,-0.8169561200555406,-0.13114995800836216,-0.49974359967852505], -516.669091
42, 18:14:57:31, [-0.7090388252875468,-0.8157094982994866,-0.13009597231268274,-0.500374819007969], -516.669112
43, 18:14:57:31, [-0.7090388152875468,-0.8157094982994866,-0.13009597231268274,-0.500374819007969], -516.669112
44, 18:14:57:31, [-0.7090388252875468,-0.8157094882994865,-0.13009597231268274,-0.500374819007969], -516.669112
45, 18:14:57:31, [-0.7090388252875468,-0.8157094982994866,-0.13009596231268275,-0.500374819007969], -516.669112
46, 18:14:57:31, [-0.7090388252875468,-0.8157094982994866,-0.13009597231268274,-0.5003748090079689], -516.669112
47, 18:14:57:31, [-0.7090690955987862,-0.8157910065680554,-0.13016472006906507,-0.5002400522399555], -516.669112
48, 18:14:57:31, [-0.7090690855987861,-0.8157910065680554,-0.13016472006906507,-0.5002400522399555], -516.669112
49, 18:14:57:31, [-0.7090690955987862,-0.8157909965680553,-0.13016472006906507,-0.5002400522399555], -516.669112
50, 18:14:57:31, [-0.7090690955987862,-0.8157910065680554,-0.13016471006906508,-0.5002400522399555], -516.669112
51, 18:14:57:31, [-0.7090690955987862,-0.8157910065680554,-0.13016472006906507,-0.5002400422399554], -516.669112
52, 18:14:57:31, [-0.7090690955987862,-0.8157910065680554,-0.13016472006906507,-0.5002400522399555], -516.669112
